Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:21:13,PTIX,S,9.6,300,PDQ,ARCX,10103688,Margin,Q2505200019192,
07:28:02,SYTA,S,6.99,255,PDQ,ARCX,10103688,Margin,Q2505200007576,
07:27:57,SYTA,S,6.99,73,PDQ,ARCX,10103688,Margin,Q2505200007576,
07:27:57,SYTA,S,6.99,200,PDQ,ARCX,10103688,Margin,Q2505200007576,
07:27:57,SYTA,S,6.99,472,PDQ,ARCX,10103688,Margin,Q2505200007576,
07:27:51,SYTA,B,6.83,25,PDQ,,10103688,Margin,Q2505200007575,
07:27:51,SYTA,B,6.83,75,PDQ,,10103688,Margin,Q2505200007575,
07:27:51,SYTA,B,6.83,200,PDQ,,10103688,Margin,Q2505200007575,
07:27:51,SYTA,B,6.83,200,PDQ,,10103688,Margin,Q2505200007575,
07:27:46,SYTA,B,6.85,457,PDQ,ARCX,10103688,Margin,Q2505200007574,
07:27:46,SYTA,B,6.85,43,PDQ,ARCX,10103688,Margin,Q2505200007574,
07:21:40,SYTA,B,5.96,170,PDQ,ARCX,10103688,Margin,Q2505200007368,
07:21:39,SYTA,B,5.96,30,PDQ,ARCX,10103688,Margin,Q2505200007368,
17:56:47,PTIX,S,6.21,200,LAMP,LAMP,10103688,Margin,S2505200013895,
07:20:06,SYTA,B,6.04,100,PDQ,ARCX,10103688,Margin,Q2505200007321,
07:57:02,SYTA,S,6.84,299,PDQ,,10103688,Margin,Q2505200008845,
07:57:02,SYTA,S,6.81,1,PDQ,,10103688,Margin,Q2505200008845,
07:19:37,SYTA,SS,6.39,96,PDQ,,10103688,Short,Q2505200007297,
07:19:37,SYTA,SS,6.29,1,PDQ,,10103688,Short,Q2505200007297,
07:19:37,SYTA,SS,6.31,1,PDQ,,10103688,Short,Q2505200007297,
07:56:14,SYTA,B,6.82,100,LAMP,LAMP,10103688,Margin,S2505200003168,
07:19:37,SYTA,SS,6.33,1,PDQ,,10103688,Short,Q2505200007297,
07:19:37,SYTA,SS,6.35,1,PDQ,,10103688,Short,Q2505200007297,
07:55:23,SYTA,B,6.87,200,LAMP,LAMP,10103688,Margin,S2505200003162,
07:19:37,SYTA,SS,6.37,200,PDQ,,10103688,Short,Q2505200007297,
07:44:03,SYTA,S,6.85,200,LAMP,LAMP,10103688,Margin,S2505200002920,
07:43:22,SYTA,S,7.26,217,PDQ,ARCX,10103688,Margin,Q2505200008343,
07:43:22,SYTA,S,7.26,83,PDQ,ARCX,10103688,Margin,Q2505200008343,
08:25:43,NRXS,S,6.21,100,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.21,83,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.21,100,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.21,117,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.22,100,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.21,123,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.21,100,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.21,18,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.21,23,PDQ,,10103688,Margin,Q2505200011014,
08:25:43,NRXS,S,6.21,36,PDQ,,10103688,Margin,Q2505200011014,
08:25:41,NRXS,S,6.17,99,PDQ,ARCX,10103688,Margin,Q2505200011006,
08:25:41,NRXS,S,6.17,101,PDQ,ARCX,10103688,Margin,Q2505200011006,
07:40:36,SYTA,S,7.23,16,PDQ,ARCX,10103688,Margin,Q2505200008273,
08:24:01,NRXS,B,6.12,100,PDQ,,10103688,Margin,Q2505200010892,
07:40:36,SYTA,S,7.23,184,PDQ,ARCX,10103688,Margin,Q2505200008273,
08:24:01,NRXS,B,6.12,100,PDQ,,10103688,Margin,Q2505200010892,
08:24:01,NRXS,B,6.12,28,PDQ,,10103688,Margin,Q2505200010892,
08:24:01,NRXS,B,6.12,72,PDQ,,10103688,Margin,Q2505200010892,
08:24:01,NRXS,B,6.12,200,PDQ,,10103688,Margin,Q2505200010892,
08:24:01,NRXS,B,6.11,100,PDQ,,10103688,Margin,Q2505200010892,
08:24:01,NRXS,B,6.11,100,PDQ,,10103688,Margin,Q2505200010892,
08:24:01,NRXS,B,6.11,300,PDQ,,10103688,Margin,Q2505200010892,
07:39:58,SYTA,S,6.99,300,PDQ,ARCX,10103688,Margin,Q2505200008234,
07:39:34,SYTA,B,6.87,300,PDQ,,10103688,Margin,Q2505200008218,
07:39:20,SYTA,B,6.74,100,PDQ,,10103688,Margin,Q2505200008191,
07:34:11,SYTA,B,6.58,300,PDQ,ARCX,10103688,Margin,Q2505200007859,
07:34:01,SYTA,B,6.66,237,PDQ,ARCX,10103688,Margin,Q2505200007864,
07:34:00,SYTA,B,6.66,30,PDQ,ARCX,10103688,Margin,Q2505200007864,
07:34:00,SYTA,B,6.66,33,PDQ,ARCX,10103688,Margin,Q2505200007864,
